[7l----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total- --io/total- ------sockets------ ----tcp-sockets----
usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send| read  writ|tot tcp udp raw frg|lis act syn tim clo
 14   2  84   0   0   1|   0     0 |5172M  389M 57.0G  545M|1169k 4750k|   0     0 |380 175  20   0   0| 20 144   3   2 279
 13   3  83   0   0   0|   0    84k|5172M  389M 57.0G  545M|1408k 5500k|   0  2.00 |382 176  20   0   0| 20 149   2   1 274
 12   2  85   0   0   1|   0    76k|5176M  389M 57.0G  541M|1173k 4467k|   0  16.0 |381 176  20   0   0| 20 152   2   1 271
 10   2  88   0   0   1|   0     0 |5176M  389M 57.0G  541M|1288k 4994k|   0     0 |375 170  20   0   0| 20 144   3   1 265
  9   2  89   0   0   1|   0     0 |5176M  389M 57.0G  541M|1417k 5382k|   0     0 |374 169  20   0   0| 20 140   2   2 267
 10   2  87   0   0   1|   0     0 |5176M  389M 57.0G  541M|1293k 5531k|   0     0 |371 167  20   0   0| 20 135   2   2 269
 13   3  84   0   0   1|   0    52k|5175M  389M 57.0G  542M|1571k 6421k|   0  2.00 |370 164  20   0   0| 20 136   2   2 270
 18   3  78   0   0   1|   0    16k|5178M  389M 57.0G  539M|1439k 5570k|   0  4.00 |369 164  20   0   0| 20 133   2   2 271
 10   2  88   0   0   0|   0     0 |5178M  389M 57.0G  539M|1347k 5285k|   0     0 |371 166  20   0   0| 20 134   2   2 271
 13   3  84   0   0   1|   0     0 |5177M  389M 57.0G  540M|1278k 6069k|   0     0 |371 166  20   0   0| 20 135   2   2 272
 10   2  88   0   0   0|   0     0 |5175M  389M 57.0G  542M|1432k 5168k|   0     0 |366 161  20   0   0| 20 132   2   2 270
 12   2  86   0   0   0|   0   176k|5179M  389M 57.0G  538M|1333k 5623k|   0  4.00 |368 162  20   0   0| 20 133   3   2 271
 18   2  79   0   0   1|   0  8192B|5176M  389M 57.0G  541M|1734k 5993k|   0  2.00 |362 157  20   0   0| 20 132   2   2 266
 10   2  88   0   0   0|   0    20k|5176M  389M 57.0G  541M|1364k 5036k|   0  4.00 |360 155  20   0   0| 20 131   2   2 267
 10   2  88   0   0   0|   0     0 |5176M  389M 57.0G  541M|1091k 4253k|   0     0 |353 149  20   0   0| 20 124   2   2 274
 12   3  85   0   0   0|   0     0 |5176M  389M 57.0G  541M|1187k 5435k|   0     0 |347 144  20   0   0| 20 116   2   2 283
 10   2  88   0   0   1|   0  1996k|5176M  389M 57.0G  541M|1370k 4364k|   0   298 |347 142  20   0   0| 20 116   2   1 247
  9   2  89   0   0   0|   0     0 |5176M  389M 57.0G  541M|1222k 4708k|   0     0 |353 148  20   0   0| 20 121   2   1 248
 15   2  83   0   0   1|   0     0 |5176M  389M 57.0G  541M|1177k 4025k|   0     0 |352 148  20   0   0| 20 120   3   1 248
 10   3  87   0   0   1|   0     0 |5189M  389M 57.0G  528M|1284k 4362k|   0     0 |355 146  20   0   0| 20 117   2   1 246
 27   7  65   0   0   1|   0   376k|5216M  389M 57.0G  500M|1341k 4224k|   0  14.0 |359 147  20   0   0| 20 119   2   1 244
 20   6  73   0   0   1|   0     0 |5216M  389M 57.0G  500M|1432k 4970k|   0     0 |355 143  20   0   0| 20 116   2   1 245
 20   6  73   0   0   1|   0   112k|5216M  389M 57.0G  501M|1290k 4215k|   0  5.00 |366 152  20   0   0| 20 128   5   1 233
 31   8  59   0   0   2|   0     0 |5217M  389M 57.0G  498M|1835k 8816k|   0     0 |381 167  20   0   0| 20 143   3   1 217
 29   7  64   0   0   1|   0     0 |5216M  389M 57.0G  500M|1539k 6110k|   0     0 |378 165  20   0   0| 20 141   2   1 213
 28   6  66   0   0   1|   0   180k|5219M  389M 57.0G  498M|1451k 5161k|   0  3.00 |378 169  20   0   0| 20 143   2   1 213
 22   6  72   0   0   1|   0   296k|5217M  389M 57.0G  499M|1238k 4349k|   0  11.0 |386 171  20   0   0| 20 149   7   1 194
 30   6  64   0   0   1|   0    52k|5217M  389M 57.0G  500M|1307k 5462k|   0  4.00 |389 177  20   0   0| 20 153   2   1 192
 26   5  68   0   0   1|   0     0 |5204M  389M 57.0G  513M|1337k 6366k|   0     0 |387 174  20   0   0| 20 148   2   1 194
 20   7  73   0   0   1|   0     0 |5204M  389M 57.0G  512M|1433k 6159k|   0     0 |381 171  20   0   0| 20 144   4   1 199
